Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"ADENURIC 120 mg, comprimé pelliculé"
"ADENURIC 80 mg, comprimé pelliculé"
"ADEPAL, comprimé enrobé"
"ADIAZINE 500 mg, comprimé"
"ADONTEX 0,12 %, solution pour bain de bouche"
"ADOPORT 0,5 mg, gélule"
"ADOPORT 1 mg, gélule"
"ADOPORT 2 mg, gélule"
"ADOPORT 5 mg, gélule"
"ADRENALINE AGUETTANT 0,1 mg/mL sans sulfite, solution injectable en seringue pré-remplie"
"ADRENALINE AGUETTANT 1 mg/mL SANS SULFITE, solution injectable"
"ADRENALINE AGUETTANT 1 mg/mL sans sulfite, solution injectable en seringue pré-remplie"
"ADRENALINE AGUETTANT 1 mg/ml, solution injectable en ampoule"
"ADRENALINE RENAUDIN 0,25 mg/mL, solution injectable en ampoule"
"ADRENALINE RENAUDIN 0,50 mg/mL, solution injectable"
"ADRENALINE RENAUDIN 1 mg/mL, solution injectable en ampoule"
"ADREVIEW [123I] 74 MBq/mL, solution injectable"
"ADRIBLASTINE 10 mg, poudre pour solution injectable en flacon"
"ADRIBLASTINE 50 mg, poudre pour solution injectable en flacon"
"ADRIGYL 10 000 UI/ml, solution buvable en gouttes"
"ADROVANCE 70 mg/2800 UI, comprimé"
"ADROVANCE 70 mg/5600 UI, comprimé"
"ADTRALZA 150 mg, solution injectable en seringue préremplie"
"ADTRALZA 300 mg, solution injectable en stylo prérempli"
"ADVAGRAF 0,5 mg, gélule à libération prolongée"
"ADVAGRAF 1 mg, gélule à libération prolongée"
"ADVAGRAF 3 mg, gélule à libération prolongée"
"ADVAGRAF 5 mg, gélule à libération prolongée"
"ADVATE 1000 UI, poudre et solvant pour solution injectable"
"ADVATE 1500 UI, poudre et solvant pour solution injectable"
"ADVATE 2000 UI, poudre et solvant pour solution injectable"
"ADVATE 250 UI, poudre et solvant pour solution injectable"
"ADVATE 3000 UI, poudre et solvant pour solution injectable"
"ADVATE 500 UI, poudre et solvant pour solution injectable"
"ADVIL 200 mg, comprimé enrobé"
"ADVIL 400 mg, comprimé enrobé"
"ADVILCAPS 200 mg, capsule molle"
"ADVILCAPS 400 mg, capsule molle"
"ADVILMED 100 mg, comprimé enrobé"
"ADVILMED 400 mg, comprimé enrobé"
"ADVILMED 5 %, gel"
"ADVILMED ENFANTS ET NOURRISSONS 20 mg/1 ml, suspension buvable en flacon"
"ADZYNMA 1500 UI, poudre et solvant pour solution injectable"
"ADZYNMA 500 UI, poudre et solvant pour solution injectable"
"AERIUS 0,5 mg/ml, solution buvable"
"AERIUS 5 mg, comprimé pelliculé"
"AERRANE, liquide pour inhalation par vapeur"
"AESCULUS COMPLEXE N°103, solution buvable en gouttes"
AESCULUS COMPOSE
"AETOXISCLEROL 0,25 % (5 mg/2 mL), solution injectable"
"AETOXISCLEROL 0,5 % (10 mg/2 mL), solution injectable"
"AETOXISCLEROL 1 % (20 mg/2 mL), solution injectable"
"AETOXISCLEROL 2 % (40 mg/2 mL), solution injectable"
"AETOXISCLEROL 3 % (60 mg/2 mL), solution injectable"
"AFINITOR 10 mg, comprimé"
"AFINITOR 2,5 mg, comprimé"
"AFINITOR 5 mg, comprimé"
"AFLAVIS 1 mg/mL, collyre en solution"
"AFSTYLA 1000 UI, poudre et solvant pour solution injectable"
"AFSTYLA 1500 UI, poudre et solvant pour solution injectable"
"AFSTYLA 2000 UI, poudre et solvant pour solution injectable"
"AFSTYLA 250 UI, poudre et solvant pour solution injectable"
"AFSTYLA 2500 UI, poudre et solvant pour solution injectable"
"AFSTYLA 3000 UI, poudre et solvant pour solution injectable"
"AFSTYLA 500 UI, poudre et solvant pour solution injectable"
"AFTAGEL, gel buccal"
"AGILUS 120 mg, poudre pour solution injectable"
"AGIOLAX, granulés"
"AGOMELATINE 25 mg, comprimé pelliculé"
"AGOMÉLATINE HCS 25 mg, comprimé pelliculé"
"AGRASTAT 250 microgrammes/ml, solution à diluer pour perfusion"
"AGRASTAT 50 microgrammes/ml, solution pour perfusion"
"AGYRAX, comprimé sécable"
"AIMOVIG 140 mg, solution injectable en stylo prérempli"
"AIMOVIG 70 mg, solution injectable en stylo prérempli"
"AIROMIR AUTOHALER 100 microgrammes/dose, suspension pour inhalation en flacon pressurisé"
"AJOVY 225 mg, solution injectable en seringue préremplie"
"AKEEGA 100 mg/500 mg, comprimé pelliculé"
"AKINETON L.P. 4 mg, comprimé enrobé à libération prolongée"
"AKYNZEO 300 mg/0,5 mg, gélule"
"ALAIRGIX ALLERGIE CETIRIZINE 10 mg, comprimé à sucer sécable"
"ALAIRGIX RHINITE ALLERGIQUE CROMOGLICATE DE SODIUM 2 %, solution pour pulvérisation nasale"
"ALBEY VENIN D'ABEILLE (Apis mellifera) 120 microgrammes, poudre et solvant pour solution injectable"
"ALBEY VENIN D'ABEILLE Apis mellifera 550 microgrammes, poudre et solvant pour solution injectable"
"ALBEY VENIN DE GUEPE Vespula spp. 120 microgrammes, poudre et solvant pour solution injectable"
"ALBEY VENIN DE GUEPE Vespula spp. 550 microgrammes, poudre et solvant pour solution injectable"
"ALBUNORM 20 %, 200 g/l, solution pour perfusion"
"ALBUNORM 4 %, 40 g/l, solution pour perfusion"
"ALBUNORM 5 %, 50 g/l, solution pour perfusion"
"ALBUREX 200 g/L, solution pour perfusion"
"ALBUREX 50 g/L, solution pour perfusion"
"ALBUTEIN 200 g/L, solution pour perfusion"
"ALBUTEIN 50 g/L, solution pour perfusion"
"ALCAPHOR, solution buvable en flacon"
"ALDACTAZINE 25 mg/15 mg, comprimé sécable"
"ALDACTONE 25 mg, comprimé sécable"
"ALDACTONE 50 mg, comprimé sécable"
"ALDACTONE 75 mg, comprimé sécable"
"ALDOMET 250 mg, comprimé enrobé"
"ALDOMET 500 mg, comprimé enrobé"
"ALDURAZYME 100 U/ml, solution à diluer pour perfusion"
"ALECENSA 150 mg, gélule"
"ALENDRONATE 10 mg, comprimé"
"ALEPSAL 100 mg, comprimé"
"ALEPSAL 15 mg, comprimé"
"ALEPSAL 150 mg, comprimé"
"ALEPSAL 50 mg, comprimé"
"ALEVETABS 220 mg, comprimé pelliculé"
"ALFA-AMYLASE CONSEIL 200 U.CEIP/ml, sirop"
"ALFA-AMYLASE CONSEIL 3 000 U.CEIP, comprimé enrobé"
"ALFA-AMYLASE CONSEIL 3000 U.CEIP, comprimé enrobé"
"ALFACALCIDOL THERAMEX 0,25 microgramme, capsule molle"
"ALFACALCIDOL THERAMEX 1 microgramme, capsule molle"
"ALFALASTIN 33,33 mg/mL, poudre et solvant pour solution injectable"
"ALFATIL 125 mg/5 ml, poudre pour suspension buvable"
"ALFATIL 250 mg, gélule"
"ALFATIL 250 mg/5 ml, poudre pour suspension buvable"
"ALFATIL LP 500 mg, comprimé pelliculé à libération prolongée"
"ALFENTANIL KALCEKS 0,5 mg/mL, solution injectable/pour perfusion"
"ALFUZOSINE L.P. 10 mg, comprimé pelliculé à libération prolongée"
"ALFUZOSINE L.P. 10 mg, comprimé à libération prolongée"
"ALFUZOSINE LP 10 mg, comprimé pelliculé à libération prolongée"
"ALFUZOSINE LP 10 mg, comprimé à libération prolongée"
"ALFUZOSINE PHARMA LP 10 mg, comprimé à libération prolongée"
"ALGINATE DE SODIUM / BICARBONATE DE SODIUM 250 mg/133,5 mg pour 5 ml, suspension buvable en flacon"
"ALGINATE DE SODIUM/BICARBONATE DE SODIUM 500 mg/267 mg pour 10 mL, suspension buvable en sachet"
"ALGINATE DE SODIUM/BICARBONATE DE SODIUM 500 mg/267 mg pour 10 ml, suspension buvable en sachet"
"ALGINATE DE SODIUM/BICARBONATE DE SODIUM 500 mg/267 mg, suspension buvable en sachet"
"ALGINATE DE SODIUM/BICARBONATE DE SODIUM CONSEIL 500 mg/267 mg MENTHE SANS SUCRE, suspension buvable en sachet édulcorée à la saccharine sodique"
"ALGINATE DE SODIUM/BICARBONATE DE SODIUM CONSEIL 500 mg/267 mg pour 10 mL, suspension buvable en sachet"
"ALGINATE DE SODIUM/BICARBONATE DE SODIUM CONSEIL 500 mg/267 mg, suspension buvable en sachet édulcorée à la saccharine sodique"
"ALGODOL CAFEINE, comprimé"
"ALIMTA 100 mg, poudre pour solution à diluer pour perfusion"
"ALIMTA 500 mg, poudre pour solution à diluer pour perfusion"
"ALIZEM 10 mg, capsule molle"
"ALIZEM 30 mg, capsule molle"
"ALKA SELTZER 324 mg, comprimé effervescent"
"ALKERAN 2 mg, comprimé pelliculé"
"ALKERAN 50 mg/10 ml, lyophilisat et solution pour usage parentéral (I.V.)"
"ALLERGIFLASH 0,05 %, collyre en solution"
"ALLERGIFLASH 0,05 %, collyre en solution en récipient unidose"
"ALLERGOCOMOD, collyre en solution"
"ALLERGODIL 0,05 POUR CENT, collyre en solution"
"ALLERGODIL 0,127 mg/dose, solution pour pulvérisation nasale"
"ALLERVI 120 mg, comprimé pelliculé"
ALLIUM CEPA COMPOSE
"ALLOPURINOL 100 mg, comprimé"
"ALLOPURINOL 200 mg, comprimé"
"ALLOPURINOL 300 mg, comprimé"
"ALLOPURINOL SUN 100 mg, comprimé"
"ALLOPURINOL SUN 200 mg, comprimé"
"ALLOPURINOL SUN 300 mg, comprimé"
"ALLUZIENCE 200 unités Speywood/mL, solution injectable"
"ALMOGRAN 12,5 mg, comprimé pelliculé"
"ALMOTRIPTAN 12,5 mg, comprimé pelliculé"
"ALODONT, solution pour bain de bouche"
ALOE COMPOSE
"ALOFISEL 5 millions de cellules/ml, suspension injectable"
"ALONEST 1,5 mg/mL, solution pour pulvérisation nasale"
"ALOPEXY 2 %, solution pour application cutanée"
"ALOPEXY 50 mg/ml, solution pour application cutanée"
"ALOPLASTINE, pâte pour application locale"
"ALOSTIL 2 %, solution pour application cutanée"
"ALOSTIL 5 %, mousse pour application cutanée en flacon pressurisé"
"ALOSTIL 5 %, solution pour application cutanée"
"ALOXI 250 microgrammes, solution injectable"
"ALPHACAINE N, solution injectable à usage dentaire"
"ALPHACAINE SP, solution injectable à usage dentaire"
"ALPHAGAN 0,2 % (2mg/ml), collyre en solution"
"ALPRAZOLAM 0,25 mg, comprimé sécable"
"ALPRAZOLAM 0,50 mg, comprimé sécable"
"ALPRAZOLAM 1 mg, comprimé sécable"
"ALPRAZOLAM FRANCE 0,25 mg, comprimé"
"ALPRAZOLAM FRANCE 0,5 mg, comprimé"
"ALPRAZOLAM HCS 0,25 mg, comprimé"
"ALPRAZOLAM HCS 0,5 mg, comprimé"
"ALPRAZOLAM PHARMA 0,25 mg, comprimé"
"ALPRAZOLAM PHARMA 0,5 mg, comprimé"
"ALPRESS L.P. 2,5 mg, comprimé osmotique à libération prolongée"
"ALPRESS L.P. 5 mg, comprimé osmotique à libération prolongée"
"ALPROLIX 1000 UI, poudre et solvant pour solution injectable"
"ALPROLIX 2000 UI, poudre et solvant pour solution injectable"
"ALPROLIX 250 UI, poudre et solvant pour solution injectable"
"ALPROLIX 3000 UI, poudre et solvant pour solution injectable"
"ALPROLIX 500 UI, poudre et solvant pour solution injectable"
"ALPROSTADIL INTSEL CHIMOS 0,5 mg/ml, solution injectable"
"ALTEIS 10 mg, comprimé pelliculé"
"ALTEIS 20 mg, comprimé pelliculé"
"ALTEIS 40 mg, comprimé pelliculé"
"ALTEISDUO 20 mg/12,5 mg, comprimé pelliculé"
"ALTEISDUO 20 mg/25 mg, comprimé pelliculé"
"ALTEISDUO 40 mg/12,5 mg, comprimé pelliculé"
"ALTEISDUO 40 mg/25 mg, comprimé pelliculé"
"ALTUVOCT 1 000 UI, poudre et solvant pour solution injectable"
"ALTUVOCT 2 000 UI, poudre et solvant pour solution injectable"
"ALTUVOCT 250 UI, poudre et solvant pour solution injectable"
"ALTUVOCT 3 000 UI, poudre et solvant pour solution injectable"
"ALTUVOCT 4 000 UI, poudre et solvant pour solution injectable"
"ALTUVOCT 500 UI, poudre et solvant pour solution injectable"
"ALUNBRIG 180 mg, comprimé pelliculé"
"ALUNBRIG 30 mg, comprimé pelliculé"
"ALUNBRIG 90 mg + 180 mg, comprimé pelliculé"
"ALUNBRIG 90 mg, comprimé pelliculé"
"ALVERINE/SIMETICONE MAYOLY SPINDLER 60 mg/300 mg, capsule molle"
"ALVESCO 160 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"ALVESCO 80 microgrammes/dose, solution pour inhalation en flacon pressurisé"
"ALYMSYS 25 mg/mL, solution à diluer pour perfusion"
"ALYOSTAL PRICK CONTROLE NEGATIF, solution pour prick-test cutané"
"ALYOSTAL PRICK CONTROLE POSITIF 10 mg/ml, solution pour prick-test cutané"
"ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 110 microgrammes, poudre et solvant pour solution injectable"
"ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 550 microgrammes, poudre et solvant pour solution injectable"
"ALYOSTAL VENIN DE GUEPE POLISTES 110 microgrammes, poudre et solvant pour solution injectable"
"ALYOSTAL VENIN DE GUEPE POLISTES 550 microgrammes, poudre et solvant pour solution injectable"
"ALYOSTAL VENIN DE GUEPE VESPULA 110 microgrammes, poudre et solvant pour solution injectable"
"ALYOSTAL VENIN DE GUEPE VESPULA 550 microgrammes, poudre et solvant pour solution injectable"
"AMANITA COMPLEXE N°75, solution buvable en gouttes"
"AMAREL 1 mg, comprimé"
"AMAREL 2 mg, comprimé"
"AMAREL 3 mg, comprimé"
"AMAREL 4 mg, comprimé"
"AMBISOME liposomal 50 mg, poudre pour dispersion pour perfusion"
"AMBRISENTAN 10 mg, comprimé pelliculé"
"AMBRISENTAN 5 mg, comprimé pelliculé"
"AMBRISENTAN STRAGEN 10 mg, comprimé pelliculé"
"AMBRISENTAN STRAGEN 5 mg, comprimé pelliculé"
"AMBROXOL 30 mg, comprimé"
"AMBROXOL CONSEIL 0,3 POUR CENT SANS SUCRE, solution buvable édulcorée au cyclamate de sodium et au sorbitol"
"AMBROXOL CONSEIL 0,6 % SANS SUCRE, solution buvable édulcorée au sorbitol"
"AMBROXOL CONSEIL 0,6 %, solution buvable"
"AMBROXOL CONSEIL 30 mg, comprimé"
"AMBROXOL CONSEIL 30 mg, comprimé sécable"
"AMELGEN 400 mg, ovule"
"AMGEVITA 20 mg, solution injectable en seringue préremplie"
"AMGEVITA 20 mg, solution injectable en seringue préremplie (0,2 mL)"
"AMGEVITA 40 mg, solution injectable en seringue préremplie"
"AMGEVITA 40 mg, solution injectable en seringue préremplie (0,4 mL)"
"AMGEVITA 40 mg, solution injectable en stylo prérempli"
"AMGEVITA 40 mg, solution injectable en stylo prérempli (0,4 mL)"
"AMGEVITA 80 mg, solution injectable en seringue préremplie (0,8 mL)"
"AMGEVITA 80 mg, solution injectable en stylo prérempli (0,8 mL)"
"AMGLIDIA 0,6 mg/mL, suspension buvable"
"AMGLIDIA 6 mg/mL, suspension buvable"
"AMIFAMPRIDINE SERB 10 mg, comprimé"
"AMIFAMPRIDINE SUBSTIPHARM 10 mg, comprimé sécable"
"AMIKACINE 1 g, poudre pour solution injectable en flacon"
"AMIKACINE 250 mg, poudre pour solution injectable"
"AMIKACINE 250 mg/mL, solution injectable"
"AMIKACINE 50 mg/1 ml, solution injectable"
"AMIKACINE 500 mg, poudre pour solution injectable"
"AMILORIDE HYDROCHLOROTHIAZIDE 5 mg/50 mg, comprimé"
"AMINOMIX 500 E, solution pour perfusion"
"AMINOMIX 500, solution pour perfusion"
"AMINOMIX 800 E, solution pour perfusion"
